file_version,subject,condition,session,task_start_time,block,trial,phase,event_name,event_code,wall_clock,t_rel_sec,duration_to_next,rt,value_shown,entered_value,correct,key_name,device,note,json,screen_index,ifi,refresh_hz,pd_used,rt_from_audio,remembered
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","NaN","","MIC_NOISEFLOOR","6","2026-05-11 12:51:52.544571","4.965373","4.154164","","","","","","keyboard","","{}","2","NaN","NaN","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","NaN","","MIC_REC_SPEECH","7","2026-05-11 12:51:56.698537","9.119536","6.665910","","","","","","keyboard","","{}","2","NaN","NaN","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","NaN","","SESSION_START","1","2026-05-11 12:53:11.381023","83.800663","0.002382","","","","","","keyboard","","{}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","NaN","","BLOCK_START","10","2026-05-11 12:53:11.381760","83.803045","0.107399","","","","","","keyboard","","{}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","0","reading","START_PAGE_ON","4","2026-05-11 12:53:11.531498","83.910444","0.045981","","","","","","keyboard","","{""pd_used"":0}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","0","reading","START_PAGE_ON","4","2026-05-11 12:53:11.531498","83.910444","3.075728","","","","","","keyboard","","{""pd_used"":0}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","0","reading","START_PAGE_ON","4","2026-05-11 12:53:11.531498","83.910444","3.489935","","","","","","keyboard","","{""pd_used"":0}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","0","reading","READING_START","23","2026-05-11 12:53:14.979394","87.400379","0.118400","","","","","","keyboard","","{}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","0","reading","DIGIT_READ1_ON","101","2026-05-11 12:53:15.139431","87.518779","3.727366","","1","","","","keyboard","digit#1 shown","{""value"":1,""note"":""digit#1 shown"",""pd_used"":1}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg02","ses02","20260511_125107","2026-05-11 12:51:47.579060","NaN","0","reading","PROBE_COUNT_OK_1","71","2026-05-11 12:53:19.478075","91.246145","0.700045","7.339476","slot#1","1","1","","keyboard","probe_digit#1","{""value"":""slot#1"",""entered"":1,""rt"":7.3394763000032981,""note"":""probe_digit#1""}","2","0.016667","60.000000","1","3.6485",""
