file_version,subject,condition,session,task_start_time,block,trial,phase,event_name,event_code,wall_clock,t_rel_sec,duration_to_next,rt,value_shown,entered_value,correct,key_name,device,note,json,screen_index,ifi,refresh_hz,pd_used,rt_from_audio,remembered
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","NaN","","MIC_NOISEFLOOR","6","2026-05-12 12:41:25.801109","4.765112","4.096483","","","","","","keyboard","","{}","2","NaN","NaN","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","NaN","","MIC_REC_SPEECH","7","2026-05-12 12:41:29.897380","8.861596","6.590555","","","","","","keyboard","","{}","2","NaN","NaN","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","NaN","","SESSION_START","1","2026-05-12 12:42:01.402578","40.366400","0.001360","","","","","","keyboard","","{}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","NaN","","BLOCK_START","10","2026-05-12 12:42:01.403288","40.367759","0.066150","","","","","","keyboard","","{}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","START_PAGE_ON","4","2026-05-12 12:42:01.470186","40.433910","0.004042","","","","","","keyboard","","{""pd_used"":0}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","START_PAGE_ON","4","2026-05-12 12:42:01.470186","40.433910","7.309796","","","","","","keyboard","","{""pd_used"":0}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","START_PAGE_ON","4","2026-05-12 12:42:01.470186","40.433910","7.693682","","","","","","keyboard","","{""pd_used"":0}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","READING_START","23","2026-05-12 12:42:09.163310","48.127592","0.066826","","","","","","keyboard","","{}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","DIGIT_READ1_ON","101","2026-05-12 12:42:09.230226","48.194418","2.027363","","0","","","","keyboard","digit#1 shown","{""value"":0,""note"":""digit#1 shown"",""pd_used"":1}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","PROBE_COUNT_OK_1","71","2026-05-12 12:42:11.897303","50.221781","0.642545","9.790864","slot#1","0","1","","keyboard","probe_digit#1","{""value"":""slot#1"",""entered"":0,""rt"":9.7908635000057984,""note"":""probe_digit#1""}","2","0.016667","60.000000","1","1.9968",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","DIGIT_READ1_OFF","116","2026-05-12 12:42:11.899954","50.864326","0.000000","","0","","","","keyboard","digit#1 off","{""value"":0,""note"":""digit#1 off"",""pd_used"":0}","2","0.016667","60.000000","1","",""
"Sergio_G01_CNS-LLF5RV3D8","cpeeg01","ses02","20260512_123954","2026-05-12 12:41:21.035802","NaN","0","reading","POSTREAD_FIX1_ON","201","2026-05-12 12:42:11.900730","50.864326","1.976231","","","","","","keyboard","after digit#1","{""note"":""after digit#1""}","2","0.016667","60.000000","1","",""
